Reveiw,Rating
"**DETAILED REVIEW**after using the item for the first 2days the following are the main pros nd cons..✓✓Pros:-it has all 32 pieces (including tweaser)-the magnet has good attractive force(the screws also gets attached to it)-the rubber grip on the handle is good.-the case given with it stores all the pieces in place,thus none of them cannot be lost.-the tweaser/plucker has a curved end thus enabling to get into small places .××Cons:-the product is not of Jackly,it's name is ""impact""...READ MORE",4
"A must buy, great product1. Brilliant screwdriver, the quality is good.2. Bits are longer than other similar screwdrivers, hence easy to use3. Steel quality is really good, bits worked well for all types of screws I used4. Has a mix of different types of screw driver bits, worked well for all my needs, as a semi professional as well as home usageREAD MORE",5
Good product.. Very helpful and that price is great product.. Happy to buy..READ MORE,4
This is helpful for small home work.It carry 32pic of beatsBut some are not usefulStill this is nice product in this price I bought this only 69It is also available in bigger sizeREAD MORE,4
product  is good .but inside magnet is not well.. light work only you can do with it. my suggestion is better if you go for high quality one.READ MORE,3
Good product for the price...compact in size...varied variety of bits with proper shape and size. Screw driver handle is a bit smaller than I thought...but that OK.READ MORE,5
but it is very small in size it is not like that which is shown in picture . but otherwise it is very good for small scrows and also quite good in quality. ....READ MORE,4
Nice product. Size and packaging is nice. Bits could little more hard. For small scale purposes only like opening electronics gadgets etc. Not for heavy duty works and mechanical partsREAD MORE,5
It's good tool set but for light duty work only like for electrical and electronic cabinets. Otherwise if you apply normal force it starts wearing immediately.So don't apply force while use.READ MORE,3
got it for 69 during sell. i must say it was a great deal at Flipkart.product is good and very usefulREAD MORE,5
Good product according to its price. It's a great deal and very useful kit in just a little costREAD MORE,5
"The quality of the set is below par. The pieces does not fit in the socket well, like the magnet isn't strong enough to hold it together. And it's not really big. Not returning it because I got it at 70 bucks and there is no replacement option.READ MORE",2
Product is good but all parts are not set properly but as usual.just for mobile tool work other work is not done..READ MORE,4
wow very nice and very good product at this down to earth price. Must buy for household repairs. Handy and useful.READ MORE,5
"Excellent product, does the work quite robust (strong) but I don't think that this can tolerate heavy works. Awesome for electronics and household use which is not heavy duty..READ MORE",5
"a bit low quality product but at this price range, its goodgrip is fine but the attachments are of poor qualitysuitable for small works like mobile or laptop repairing but not for heavy works. Not so precise. Magnetic screw hold is not so strongfinally, A set not for    "" PROFESSIONALS ""READ MORE",3
"Most of the drivers are for electronic gadgets like mobile phones and laptops. Not very useful for electronics used at home like mixer grinders, door knobs etc.But, the quality is actually good. It's not flimsy. It's actually well built.READ MORE",4
"Product : Comes on very nice and attractive case with many bits, twister and base holder. - product is good not for heavy duty use.- very nice and good for mobile and laptop.- few bits head and not fine but over all good.- product is nice not seems cheap.- value for money.READ MORE",4
wow such a nice product 100% worth for money I liked it and I am happy with this product.READ MORE,5
"I got it on a flashdeal for 69/-, just can't complain. There may be better products in the market, but for the price, and it being magnetic, I've found it to be very useful to open my kid's toys etc. The magnetic power is not great, but it's not useless either. It's fairly alright.READ MORE",4
The product is good and have good magnetic grip to hold the screws while opening n lighting. For opening of laptop you need type of screw driver sets but sometimes screw will be open by available bit inside.READ MORE,4
The Product Jackly Combination Screw Driver Set is good for daily small to sophisticated work!...Giving 4 stars becuz the build quality is not so good and same hexagon and cross screws are provided!! Overall the product is good.. :)READ MORE,4
Superb screwdriver set it is useful and good quality I bought it in offer I am satisfied  thank you Flipkart.READ MORE,4
good product nice quality....worth for money....and speed delivery good delivery boy...nice behavior ecome Express and thank you flipcartREAD MORE,5
Lovely product it works very good and it is so easy to carry i love itREAD MORE,5
product is good and delivered in very few days after book. Pretty good product. I got it this in 130rs where 90 for the kit and rest delivery charge . delivery is kind of mandatory for some item. so you cant declined that costREAD MORE,3
good set but only for micro scale work . best for children and school project work .READ MORE,4
Terrific purchase. Just WOW. I got this one only for ₹89. The best set in this price range. Awesome. Delivery was so fast. Thank you Flipkart.READ MORE,5
good kit it has a magnet too but it is pretty small but I like itREAD MORE,3
Nice Product and work properly and easy to use...READ MORE,5
"this product is very nice and usefull it can withstand if don't work this tool for heavy work , it's is very good in this price rangeREAD MORE",4
screw bit are very small & magnetic driver doesn't work properly but it's work properlyREAD MORE,3
"If you never had a screwdriver set for small devices, then this is good as a starter kit. The bits are essentially less than 10 but adding different sizes it counts up to 32 bits. You need to have really good eye sight to see the difference in the tips since there are no legends on the box. So the tweezer is your best friend here, especially when dealing with the tiny screws. The magnet on the handle is not great but it is quite manageable. What prompted me to give them an extra star is the w...READ MORE",4
good ... worth for money... product is not that much of good quality... but d rate at which we r getting this is excellent... however work can b done....READ MORE,4
"magnet not tht strong , but for 89 Rs .. cant ask for more , quality is good . worth it ..!!READ MORE",4
"Got it for just 65 Rs. in the BBD sale, delivery was bit late understand due to heavy load.it's pretty small expected little big one, Quality is also topically of China product. But for Re 65 I will not expect any thing more then this.Product is recommended since it has various useful BITs but check the price before buying.READ MORE",3
Good item value for money. bought for 69rs very useful for soft uses. not suitable for heavy items.READ MORE,5
"very nice set. recommend everyone to buy this.This set is suitable for opening all electronic gadgets like mobile, chargers,speakers, etc.READ MORE",5
"This is not a perfect tool kit for a serious long term work. The most important bit Phillips #00 is not there. 30% of screw driver bits doesn't have proper shape, the screwdriver bit holder is loose and approximately 10 bit are of no use or their substitute is already there in the set. Still, it is a very good if we u get it under 100/- . It can open mobile, laptop, hard disk and printer but not pocket camera because it requires Phillips #00. Received the product with no issues and just a scr...READ MORE",4
nice product and it also comes with many kinds of nozzle it is very good but the finishing of the box is not goodREAD MORE,4
product is good but from this I cannot open my mobile screw it's only good for laptop to open screw of laptop and for mobile phones not even single nut fixing in my mobile phone to open it's screw .. good but not best ..READ MORE,5
"That products was good and very useful home ,and delivery man was good communication and good delivery at correct time.READ MORE",5
awesome brilliant fabulous outstanding world best setREAD MORE,5
product is very nice i love it by delivery ak dil let. se hua but product is lovelyREAD MORE,5
"good product in this price.You cannot use it for junk screw.but it is useful in electricals such as fitting bulb,tube light etc & innwlectronics like sound box , laptop etc..magnet is not very strong & the screw falls down many times.the matterial quality is just okey.still better product in this range for use.READ MORE",4
"Just love the delivery team.And I hope, Flipkart will rise in future.Only useful for some appliances, but not for all, Isn't useful for mobile phones.READ MORE",5
"I like the set pieces , but its not precise. For example in a typical star set piece the star groves are not clear. therefore it is not usable I bought this to open open my smartphone for a few modifications but the screws are not perfectly designs therefore it only destroyed my phone's screw now I am dead with no way of opening my smartphone. The rest of the screws of largest size are great but the ones in small size are not usable. I gave it three stars because it didn't have any precise gr...READ MORE",3
good product... useful for daily use...a small crack in box but product is fully good...overall I like that... awesome recommended for all students...or anyone...still working after a yearREAD MORE,5
very nice and useful the good think is that it I don't want to say it is China madeREAD MORE,5
good but metals are not strong enough .good enough for simplest work .READ MORE,3
this is best tool use anywhere anytime smoothly smartly tool keep it bag in anywhere smartly smartest tool used to news electrical work all type of workREAD MORE,3
Product is as good as described. The magnet could have been of better quality. Still a very good product. Go for itREAD MORE,4
I bought this during the Big Billion sale with great offer..But this small piece of wonder is more worthy than the price..Very useful toolkit and a Must Have in all households..The grip of the handle is very good and above all the multi option screw heads are a Genie in opening any type of screw..READ MORE,5
I got this product @only 69 rupees.. Its average quality but at this price its awesome thats I rate 5Star.. It may price rance of 300rupees.. so can surely buy it only for Home use.. not for professional use. features1.light weight2.magnetic head3.lock and anti lock mechanism4.clock wise & Anti clock wise rotationbut product quality is averageREAD MORE,5
Good item Nice product Awesome yaaa Thanks for Flipkart for this good productREAD MORE,5
"I will sgst it is cool for small work , helps a lot for small works , quality is not that good for hard works .READ MORE",3
"Excellent tool. Good build quality. Handy and sturdy operations. Magnetic arm. Bits quality is good. Can be useful in many small jobs like computer,laptops,watches,sunglasses etc. Just loving it.READ MORE",5
Nice set of Screwdrivers.. The handle could be bigger. And also should've had locking screw. Good for light work. Not ideal for heavy work.READ MORE,3
Quality is really good. It is a pack of 32 tools. Nicely integrated tools in a very compact design and easy to carry. Delivery and packing is also very good. I recommend this product if you are looking for it.READ MORE,5
value for moneyREAD MORE,4
good tool kit for general home use. I bought it in big shopping days festival for 79 only gud deal.READ MORE,5
niceREAD MORE,4
So goodREAD MORE,5
Nice product but the quality of metal used is very cheapREAD MORE,3
Its very small bits but gud qualityREAD MORE,3
Ok but low quality..READ MORE,3
Got this for 56 rs on sale worth it good build you are not paying 499 rs as printed on the box but very good product for under 100 rs go for it.READ MORE,4
nice productREAD MORE,3
a nice productREAD MORE,5
so niceREAD MORE,5
Worth of moneyREAD MORE,4
"very useful for laptop , mobile or other electronic device repairing at this price.i purchased in 125 rupees.READ MORE",5
got it for rs 89 with plus benefitabsolutely worth the price the set is able to open many screw including one in Nokia and do it's jobs absolutely finewithout damaging the screw( which I was pretty worried before)even open my laptop screwthe magnetic power is not adequatebut can be manageablego for it absolutely worth the priceREAD MORE,5
this is really a good product so iam suggest you to purchase this product the strong magnetic screwdriverREAD MORE,5
This item is very good for personal uses....& very usefulREAD MORE,4
"Got it at a price of Rs 63 during big billion days ,September 2017.. Superb.. No problem.. At this price it is awesome.. No defects...READ MORE",5
best product nice qualityREAD MORE,5
nice productREAD MORE,5
nice very good itemsREAD MORE,5
good product . not h pure finishing product but always was good.READ MORE,4
NiceREAD MORE,5
More worth than ourpriceGood condition....No more defectsGoodREAD MORE,5
"too small,but valur for moneyREAD MORE",3
"such a bad product, with 2,3 use the tip bent. totally useless product. Don't buy.READ MORE",1
Pathetic. Poor. Not recommendedREAD MORE,1
good product at reasonable pricesREAD MORE,5
this is a good tool in this priseREAD MORE,5
Guys don't buy this item. The case and hold are good in quality but the attachment provided are of very low quality. If you apply littile pressurw to tight the screws the end will tear. Go for single piece screwdrivers or buy fron local market. Surely this thing won't lasts for 2-3 worksREAD MORE,1
It is not jackely productIt is another company's productREAD MORE,1
BetterREAD MORE,5
Not given extension bar along with this item.READ MORE,4
😐 good product but 😏 very small paichREAD MORE,1
Good working I am happyREAD MORE,5
Not bad for discounted price got it for 65 rs 😘READ MORE,4
"Very bad product , tools metal is not goodREAD MORE",1
NiceREAD MORE,4
best productREAD MORE,5
Such a good product for this affordable price.And it's size is compact in space.READ MORE,5
It's not a good quality itemWasteREAD MORE,1
low quality steel not satisfied... 👎READ MORE,2
Hi good workREAD MORE,5
this is very nice product bhut accha haiREAD MORE,5
Definitely value for money no doubt. Going into detail the screwdriver is not suitable for heavy duty recommend but small purposes. If you apply too much pressure chances of breaking it is high. So buy if you want to use to repair small toys or a light usage.READ MORE,5
good prodect. good prefomence  use full itemREAD MORE,5
good product but low quality metal buy only easy work purpose . Iske screw toot gya tv kholne parREAD MORE,3
"It's not good ..., And it is not in usedREAD MORE",1
Quality not soo good its too smallREAD MORE,1
Good and nice productREAD MORE,3
Nice best priceREAD MORE,5
I buy Rs 79  good quality....READ MORE,5
Very badThere are no labels as to what is which type of screw.They could have mentioned it somewhere the order of screws.Pretty pointless.Better spend few more bucks and buy a good one with labelsREAD MORE,1
GoodREAD MORE,5
Satisfied ........ best in 89/-READ MORE,4
good but size is to smallREAD MORE,3
Good product but not BestREAD MORE,3
Quality of the product is very lowREAD MORE,1
Very bad wast of moneyREAD MORE,1
Waste product the bits are not good.please don't   buy itREAD MORE,1
Poor quality don't purchase that productREAD MORE,1
very soft iron. already spoiled one headREAD MORE,2
don't buy it ...READ MORE,1
GoodREAD MORE,3
Very bad product !Don't buy it !READ MORE,1
GoodREAD MORE,5
I got a used product with a lot of scratches .The size is too small and quality is  too badd and we get 28 kind screw bits and 1 main screw driver and 1  more thing (shapes like a chimta) whose quality is  very bad 2pcs were missing 1 is a another chimta and 1 is extension to extend its length. At last I want to tell you that it is made up of cheap quality . I do not recommend this.READ MORE,1
bad product  .bad quality ...pls dont buy beacuse of this cheap price .go for good one .i used to open my laptop screw only then it turns like this and the job is also incompleteREAD MORE,1
good qualityREAD MORE,5
Best itamREAD MORE,1
Good productREAD MORE,4
"Everything is fine. But Opening the box is itself a hard task and the Magnetic power is bit low, but it can be adjustable.READ MORE",4
very small but niceREAD MORE,3
nyc products i am very happyREAD MORE,5
damage boxREAD MORE,1
very Good ProductREAD MORE,5
Not good product.READ MORE,1
This product is very usefulREAD MORE,5
This product  is bad qualityREAD MORE,2
NiceREAD MORE,5
don't order this product....READ MORE,1
Good tools very usefullREAD MORE,5
Good Protect... an rate is very chifffffff....😉😉😉READ MORE,5
Very bad product.Please don't buy this productItem is very very small...it is not useful.READ MORE,1
GoodREAD MORE,5
Product is goodREAD MORE,4
Value of money. I got it at a price of 69. I gave it 3 star coz of weak magnet power. If magnet fail it will be useless hence I am afraid of that. And the head will broke if you press hard.READ MORE,3
not badREAD MORE,4
it's very small but quality is good.READ MORE,3
Nice built in quality. Good productREAD MORE,4
Really niceREAD MORE,5
Didn’t use it yet. But product looks same as in the picture on website. I don’t know how reliable it can be but I think in this price this is all I can ask for.READ MORE,4
Got before the expected delivery date. Good quality product in this price range. Delivery service is also very nice. Thank YouREAD MORE,5
Nice product ....but this product is not help to open smart phone.READ MORE,3
goodREAD MORE,5
Nice product and Worth price really nice Most tryREAD MORE,5
Good meterialREAD MORE,5
It's a very small in size as compared to show image.Maybe its use for mobile/ min device due to it's tools size.READ MORE,1
Very short...unexpected sizeREAD MORE,1
Bad qualityREAD MORE,1
Not worthy because all are sameREAD MORE,1
Some thing missingREAD MORE,1
Very bad product don't buy this driver slipped on screw.READ MORE,1
Not okREAD MORE,1
Build quality is not good. Looks bigger in picture. The bits are not precised. Not for professional useREAD MORE,2
got it On 99 Very happy Nice product deliverd on 24 hoursREAD MORE,4
Very smaller sizes heads... Not suitable for domestic tool kit..READ MORE,1
Worth the price ..  Nice one😍READ MORE,5
"I like it very much, worth the price✌️READ MORE",4
"Star Bits when unscrewing bit rolled,bits material not, good looking package,china madeREAD MORE",1
"Good product and nice pricing, overall good to go with it.READ MORE",5
Good.READ MORE,5
Low quality materialsREAD MORE,1
OkREAD MORE,5
Very poor dont buy it up 100 rupeesREAD MORE,1
*32 bits in one box*Value for money*Solid build*Nice looking*Too help full and handyREAD MORE,5
Product Quality is No 1!READ MORE,5
Looking good.. durable or not don't know exactly..READ MORE,5
It's nice but not for daily use.... It's occasionally can be used for something only... Quality is like.. OkBut it's very small... It should range between 50-80 rsWhile I got it in 98 rs....READ MORE,3
The head little bit bend so roundness can not get perfectly.READ MORE,3
not badREAD MORE,4
It seems big in pic but it is very smallREAD MORE,1
Good product but product size is smallREAD MORE,5
Product is good my product is something problemREAD MORE,4
Not 32 bits there are only 28 bit and it's smaller than you palmREAD MORE,1
The tips are of poor quality. After two screws the tips just rotates without grip. Just spend a little more to buy a better one.READ MORE,2
It is unsatisfied to meBecause it is high cost but instrument is very smallIt is not equal to costWaste instrument money wasteThe instrument noise is bendendThe rating from my side is -1READ MORE,1
Quality is too bad don't buy very worst productREAD MORE,1
It was goodREAD MORE,4
Good quality 4/5READ MORE,4
Value of money in this price products is excellent. I love it... Best product. Don't ignore itREAD MORE,5
magnetic hole is not working properly its too looseREAD MORE,3
Magnet Quality in the screwdriver is very bad and loosed rather than using magnet if they prefer mechanical fit then this kit is of 5 star quality.READ MORE,2
Very Small In Size. Poor Quality Plastic Material. I received with broken. Please use hard packing box. But This Is good for small types of work like computers laptops and more electronic devices reparing. Please take attention on more comfortable packing.READ MORE,4
Good and useful.I received broken box but after replacement they send new sealed pack.I am happy.READ MORE,5
Value for manny good product  and fast dilivaryREAD MORE,5
Too small malayaiee thattippa vagalleeREAD MORE,1
It is good but small.. just ok ok...READ MORE,4
Item ok avrageREAD MORE,3
"Read some reviews stating that they have received a product which is from different manufacturers. However, in my case I got the same product which is displayed. Yaa the grip feels a bit small, however it's the standard size, so nothing much to complain about. Happy with the product, shipment and fast delivery. Thank you seller &Thank you flipkartREAD MORE",5
goodREAD MORE,5
Handle Magnet is so poor.... Bit is not fixing properly..READ MORE,1
Bad qualityREAD MORE,1
Do not buy. It is made in china product.READ MORE,1
The product was very good but the iner packeging was not si good. Altough it is a nice product comapared to its price.READ MORE,4
Very niceREAD MORE,5
Nice  and very useful for things youREAD MORE,5
I like itREAD MORE,5
niceREAD MORE,3
GoodREAD MORE,4
Good productREAD MORE,3
Item is good but not very still magnet is not too powerfulREAD MORE,4
Good toolkitREAD MORE,5
GoodREAD MORE,4
Worst product i've ever seen its picture is showing it bigger but this whole box is not more than 12 cm. Please think before buying.....READ MORE,1
very small but niceREAD MORE,5
waste productREAD MORE,1
awesome product.READ MORE,5
awesome productREAD MORE,5
Very delicateREAD MORE,1
Good product...READ MORE,4
very nice best priceREAD MORE,3
this Jacqueline square pension 32 + this is very good in our daily life there is no problem in this and it is a value of money sum of squares are missing in this but the product is very good and value of moneyREAD MORE,5
very usefulREAD MORE,5
super best priceREAD MORE,5
value for moneyREAD MORE,4
nice product in price RS.69READ MORE,5
metal quality is quite poorREAD MORE,3
low quality and small size poor plastic material usedREAD MORE,1
don't buy this productmagnet very poor qualityREAD MORE,2
Poor qualityREAD MORE,1
I am very satisfied of this productREAD MORE,5
not bad😭😭READ MORE,3
"It looks good. But quality is very bad, some of the screw driver bits are not even getting inserted into it. And when I started using it, edges of most of the bits got deformed and could not use those bits further as it started slipping in the grooves provided on the screw. Highly disappointed.READ MORE",1
dont buy this item....its not suitable...hey flipkart dont put this type of material...its uselessREAD MORE,1
waist of moneyREAD MORE,1
Not goodREAD MORE,1
poor magnetic handleREAD MORE,3
Product quality not good.  I purchased it @89 Only with Free Delivery chargesREAD MORE,2
okREAD MORE,1
Best Product at cheap Price I got this Product at Rs69 in Big Billion DayREAD MORE,5
"nive product ,,,only use for small thingsREAD MORE",5
good productsREAD MORE,4
thanks for flipkart fast deliveryREAD MORE,5
"as compared to budget the quality and quantity is so so good,but the cover should hold tight to the screws, and lock also should tightREAD MORE",4
not worth.. the quality is very bad that little pressure  break the pointed metalREAD MORE,1
really very defective product screw breaks easilyREAD MORE,1
metal quality is so poor.READ MORE,1
Sadanam kollaamBT bit connect cheyythukazhinjaal alppam loose unduREAD MORE,3
"The bits are of poor quality, having irregularities and machining imperfectionsREAD MORE",1
very poor metal quality.. don't buyREAD MORE,1
I purchased this for laptop and mobile repairing..the bits are low quality and cannot be used for long durations... after 2 days of usage the tips of the bits started to bend... not recommended...👎READ MORE,1
this product is goodREAD MORE,5
Very bad productREAD MORE,1
Small sizeREAD MORE,5
Very badREAD MORE,1
Poor qualityREAD MORE,1
Bad product. The screw pins are not durable.READ MORE,1
"Very bad product, don't buyREAD MORE",1
Very very bad productREAD MORE,1
SmallREAD MORE,1
not gudREAD MORE,1
varry badREAD MORE,1
Nice product but too smallREAD MORE,5
"Very good product ,  and good quality.READ MORE",5
Poor qualityREAD MORE,1
Worst qualityREAD MORE,1
This is very bad product . This product is like as garbage .READ MORE,1
Worst product ever....Tip damage single useREAD MORE,1
Worst product ..pls not to buy this productREAD MORE,1
Not so good..the size of the tools are soo small..as expecting..worth for rs 89.READ MORE,3
It's Awesome the product is so much useful.   There is value of money so guise go for it.READ MORE,5
Bad quality don't buy metal r poor qualityREAD MORE,1
Nice product with a superb quality in that priceREAD MORE,4
good for the price paid 89/-READ MORE,4
very nice products ]READ MORE,5
all componant are good. 32 sets. all compnant are set to adject for all pins .. best in tis priceREAD MORE,4
nice product in this priceREAD MORE,4
gd productREAD MORE,5
Amazing product it has all the bit which you want to open small item thank you it's a deal at price of 89READ MORE,5
its not good product....READ MORE,2
not satisfied  with this product what expected thing not came i liked to get mobile repairing screw product but it come some differentREAD MORE,2
niceREAD MORE,5
NiceREAD MORE,5
Nice set & very useful for homeREAD MORE,4
The product is just too fragile. Very malleable for use.READ MORE,1
3 rd class productREAD MORE,1
Insufficient item inside the productREAD MORE,3
Nice product very cheap andI purchased Only on Rs. 99High performanceREAD MORE,5
Goodnot better but it's okkREAD MORE,3
the product is worth it.READ MORE,4
Not good not badREAD MORE,1
GoodREAD MORE,4
Waste of moneyREAD MORE,1
Good product useful  thank you flipcartREAD MORE,4
Worrest product please don't buy this itemREAD MORE,1
GoodREAD MORE,5
Poor quality and small in size. No extension rod. Not at all worth. One should go for better quality and price.READ MORE,1
PRODUCT BEST BUT TWEEZER IS NOT OPENREAD MORE,2
Super productREAD MORE,4
GdREAD MORE,5
Good qualityREAD MORE,5
Value For Money.READ MORE,5
OkREAD MORE,4
SuperREAD MORE,5
Very goodREAD MORE,4
goodREAD MORE,5
Worst qualityREAD MORE,1
Nice productREAD MORE,4
It's okREAD MORE,3
GoodREAD MORE,5
Its very poor quality product. Its tip gets broken if you use it. Don't buy it!READ MORE,2
Excellent product and quality is niceREAD MORE,5
Very badREAD MORE,2
Good qualityREAD MORE,5
Nice productsREAD MORE,4
I am happyREAD MORE,5
goodREAD MORE,4
Fully satisfied productsREAD MORE,5
GoodREAD MORE,3
nice productREAD MORE,5
OkREAD MORE,4
"Wonderful product, value for money.READ MORE",5
NiceREAD MORE,5
Very goodREAD MORE,5
Nys productREAD MORE,5
GoodREAD MORE,5
Very badREAD MORE,1
as per price as per qualityused for very light materials.magnet power is low for rachet screw slihtly looseREAD MORE,3
Small wonder  price for the first timeREAD MORE,5
SuperREAD MORE,5
Its not so good but ok at the price pointREAD MORE,3
Nice usefull productREAD MORE,4
Excellent product for use in everythingREAD MORE,5
"It look like big in advertisement, But when i got it is just 10cms long handle and the bits all are too small than what i think.If there is an extension stick on the handle then it is very good. After all ok. For 100 rupees it is not bad.READ MORE",1
Quality is very badREAD MORE,1
GoodREAD MORE,5
Not upto the mark. The quality is like the Country itself.. cheap!!READ MORE,1
Very very badREAD MORE,1
OkREAD MORE,4
Good productREAD MORE,4
Very Good product.READ MORE,4
Item is verry badREAD MORE,1
Best products in price....READ MORE,5
"Awesome product,..READ MORE",4
Value for moneyREAD MORE,5
"Very nice and quality, thank you FlipkartREAD MORE",5
ExcellentREAD MORE,5
Bad productREAD MORE,1
Very badREAD MORE,1
Good 👌👌👌👍👍👍READ MORE,5
NiceREAD MORE,5
NiceREAD MORE,5
Very bad productREAD MORE,2
SuperREAD MORE,5
"Very good product , very good packing, and Thanks for flipkartREAD MORE",5
GoodREAD MORE,4
This product is very smallREAD MORE,2
NiceREAD MORE,5
Nice productsREAD MORE,5
Very goodREAD MORE,5
Super....READ MORE,4
GoodREAD MORE,3
Quality is not goodREAD MORE,1
GoodREAD MORE,5
Nice qualityREAD MORE,4
The mini connecters quality are not good 😡READ MORE,1
GoodREAD MORE,5
Nice product worth for moneyREAD MORE,5
Worthy to buyREAD MORE,5
Worthy to buyREAD MORE,5
Average product....... packaging not good.....but in this price it's OK....READ MORE,3
Weast product 1time use edge damage very bad quality 😔😔😔READ MORE,1
Good productREAD MORE,5
NiceREAD MORE,3
good  qualityREAD MORE,3
quality is not so good.READ MORE,3
Not good quality But this one value for moneyREAD MORE,5
Low quality product.money waste productREAD MORE,1
Very badREAD MORE,1
Very bad quality product dont buy this product. It's really thin(patla) all scrue will cracked 😂😂🤣🤣🤣west for moneyREAD MORE,1
"Not good enough, low quality.READ MORE",1
SuperREAD MORE,4
World's worst productREAD MORE,1
Good. ThanksREAD MORE,5
Dont buy. worst productREAD MORE,1
AverageREAD MORE,2
Just okREAD MORE,3
This products quality very poor quality  don't purchase this product and westage your timeREAD MORE,1
GoodREAD MORE,3
Product is very good and delivery is also very fast and product quality is not so good but average it come with 30 Shades and one chip ejector tool and 1 handleREAD MORE,5
Good but quality is bad and small sizeREAD MORE,1
product is goodREAD MORE,5
GoodREAD MORE,5
Good productREAD MORE,5
Nice product Help full productImportant itemsREAD MORE,5
Very very very very bad quality.READ MORE,1
NiceREAD MORE,4
Nice oneREAD MORE,5
Low quality meterialREAD MORE,1
If it is possible I will give it negative points. The material (metal) is very cheap. Worse quality.READ MORE,1
Good qualityREAD MORE,5
GoodREAD MORE,5
First of all according to price the material delivered is ok and you can do your delicate work with delicate hands. Don't use like normal screw drives because it is for small screws and not for heavy  duty. If you have to repair mobile and laptop aur small works you can definitely go for it..(disclaimer.. this is not a paid promotion as some of companies giving  theircustomers a100 bucks to do so...so be alert!!!!..)READ MORE,4
Not badREAD MORE,3
GoodREAD MORE,5
BestREAD MORE,5
NiceREAD MORE,5
Too small in sizeREAD MORE,1
GoodREAD MORE,4
We are not satisfied this product.😒😒This product is small 😒😒😒READ MORE,1
"Mine arrived with a skewed holder (main body). Needed it urgently so couldn't replace it. The build quality is ofcourse not terrific, as it is probably the cheapest one on flipkart with these many attachments. Does light jobs around the house, opened my nerf gun and ps controller with ease. Didn't try on a mobile, but it would surely work. Good enough for use once in a fortnight, definitely not enough to be relied on daily.READ MORE",3
So cool.READ MORE,5
Nice 🙂READ MORE,5
Sup..item value for moneyREAD MORE,5
Very bad do not buy ......READ MORE,3
GoodREAD MORE,5
Nice product 👍READ MORE,3
GoodREAD MORE,5
Quality very poorREAD MORE,2
Nice 👍READ MORE,4
GoodREAD MORE,5
Nice productREAD MORE,4
GoodREAD MORE,5
Totally worst Product..READ MORE,1
Not recommended...READ MORE,1
Very poor quality products. Returned.READ MORE,1
Price gud oneREAD MORE,4
Go for itIts just osmREAD MORE,4
PoorREAD MORE,1
poor built qualityREAD MORE,2
Very nice productREAD MORE,5
Mind blowing product 👍👍READ MORE,5
Poor qualityREAD MORE,3
Good podact Really goodREAD MORE,5
GoodREAD MORE,4
OK coolREAD MORE,3
